standard_whisky_name,korean_name
Johnnie Walker XR 21 Year Old Year of the Horse Edition,조니워커 XR 21년 말띠 에디션
Jura (Unspecified),쥬라
Jura 18 Year Old,쥬라 18년
Jura Islander,쥬라 아일랜더
Jura The Bay,쥬라 더 베이
Jura The Sound,쥬라 더 사운드
Kaiyo (Unspecified),카이요
Kanosuke (Unspecified),카노스케
Kavalan Concertmaster Madeira Cask Finish,카발란 콘서트마스터 마데이라 캐스크 피니시
Kavalan Concertmaster Port Cask Finish,카발란 콘서트마스터 포트 캐스크 피니시
Kavalan Distillery Select No. 1,카발란 디스틸러리 셀렉트 1번
Kavalan Distillery Select No. 2,카발란 디스틸러리 셀렉트 2번
Kavalan Jeju Edition,카발란 제주 에디션
Kavalan Oloroso Sherry Oak,카발란 올로로소 셰리 오크
Kavalan Podium,카발란 포디움
Kavalan Solist Amontillado Sherry Single Cask Strength,카발란 아몬티야도 셰리 싱글 캐스크 스트렝스
Kavalan Solist Bourbon Cask Single Cask Strength,카발란 버번 캐스크 싱글 캐스크 스트렝스
Woodford Reserve (Unspecified),우드포드 리저브
1792 Small Batch Bourbon,1792 스몰배치 버번
Aberfeldy 18 Year Old,애버펠디 18년
Balvenie 16 Year Old,발베니 16년
Black Bottle,블랙보틀
Bladnoch 19 Year Old,블라드녹 19년
Bowmore,보모어
Bowmore 33 Years Old Timeless,보모어 33년 타임리스
Bruichladdich The Classic Laddie,브룩라디 클래식 래디
Bulleit Bourbon,불렛 버번
Bushmills,부쉬밀
Classic of Islay 2024,클래식 오브 아일라 2024
Dalmore Luminary,달모어 루미너리
Four Roses Small Batch,포로지스 스몰배치
Four Roses Straight Bourbon,포로지스 스트레이트 버번
Frapin 15 Year Old Cask Strength,프라팽 15년 캐스크 스트렝스
GlenAllachie 11 Year Old Palo Cortado Cask Finish,글렌알라키 11년 팔로 코르타도 캐스크 피니시
GlenAllachie 35 Year Old,글렌알라키 35년
Glenallachie Single Cask 2011 14 Year Old Oloroso Hogshead,글렌알라키 싱글캐스크 2011 14년 올로로소 혹스헤드
Glenallachie Single Cask 2012 13 Year Old PX Hogshead,글렌알라키 싱글캐스크 2012 13년 PX 혹스헤드
Glencadam 10 Year Old,글렌카담 10년
Glencadam 13 Year Old,글렌카담 13년
Glendronach House Editions The Parisian Room,글렌드로낙 하우스 에디션 파리지앵 룸
Glendronach House Editions The Sevillian Room,글렌드로낙 하우스 에디션 세비야 룸
Glendronach House Editions The Venetian Room,글렌드로낙 하우스 에디션 베니스 룸
Glendronach Port Wood,글렌드로낙 포트우드
Glenfarclas 1989,글렌파클라스 1989
Glen Grant 15 Year Old,글렌그란트 15년
Glen Grant 16 Year Old Cask Strength,글렌그란트 16년 캐스크 스트렝스
Glen Grant 21 Year Old,글렌그란트 21년
Glen Grant Horse Edition,글렌그란트 호스 에디션
Glenturret 12 Year Old,글렌터렛 12년
Glenturret 14 Year Old Peat Smoked,글렌터렛 14년 피트 스모크드
Hakushu Bittersweet Edition,하쿠슈 비터스위트 에디션
Heaven Hill Bottled-in-Bond 7 Year Old,헤븐힐 보틀드인본드 7년
Hibiki,히비키
Hibiki Chiso Edition,히비키 치소 에디션
Highland Park 30 Year Old,하이랜드 파크 30년
Highland Park Seoul Edition,하이랜드 파크 서울 에디션
Kanosuke 2026,카노스케 2026
Kavalan Classic Single Malt,카발란 클래식 싱글몰트
Kavalan Solist Vinho Barrique,카발란 비노 바리끄
Kilchoman Batch Strength,킬호만 배치 스트렝스
Ki One Eagle,키원 이글
Laphroaig 14 Year Old Willem Dafoe Limited Edition,라프로익 14년 윌렘 대포 리미티드 에디션
Lucky Seven The New Yorker,럭키세븐 더 뉴요커
Macallan 12 Year Old Double Cask (Old),맥캘란 12년 더블캐스크 (구형)
Mannochmore 18 Year Old,마노크모어 18년
Natterjack Cask Strength,내터잭 캐스크 스트렝스
Oban Little Bay,오반 리틀베이
Old Forester Single Barrel,올드 포레스터 싱글배럴
Old Forester Statesman,올드 포레스터 스테이츠맨
Old Forrester 1910,올드 포레스터 1910
Port Charlotte Isleta Barley 2014,포트샬럿 아일레타 발리 2014
Royal Brackla 18 Year Old,로얄 브라클라 18년
Royal Lochnagar 12 Year Old,로얄 로크나가 12년
Royal Salute 23 Year Old,로얄 살루트 23년
Signatory Vintage Benriach 2014 10 Years,시그나토리 빈티지 벤리악 2014 10년
Stagg Batch 26A,스택 배치 26A
Taketsuru Pure Malt Grande,다케츠루 퓨어몰트 그랑
Tamdhu 15 Year Old,탐두 15년
Tamdhu 21 Year Old,탐두 21년
The Dundee Blended,더 던디 블렌디드
The Glenlivet,글렌리벳
Weller Special Reserve,웰러 스페셜리저브
Wild Turkey 81,와일드터키 81
Wild Turkey Kentucky Spirit Single Barrel,와일드터키 켄터키 스피릿 싱글배럴
Wild Turkey Longbranch,와일드터키 롱브랜치
Wild Turkey Rare Breed,와일드터키 레어브리드
Writers' Tears 10 Year Old Cask Strength Batch 4,라이터스티어스 10년 캐스크스트렝스 배치4
Yamazaki Limited Edition 2021,야마자키 리미티드 에디션 2021
Yellow Rose Harris County,옐로우로즈 해리스 카운티
Glenallachie Single Cask (Unspecified),글렌알라키 싱글 캐스크
Balvenie 1931 Collection 12 Year Old,발베니 1931 컬렉션 12년
Old Pulteney 15 Year Old,올드 풀트니 15년
Old Pulteney 16 Year Old,올드 풀트니 16년
Old Pulteney 18 Year Old,올드 풀트니 18년
Old Pulteney 25 Year Old,올드 풀트니 25년
Old Pulteney Huddart,올드 풀트니 허다트
Balblair 12 Year Old,발블레어 12년
Balblair 15 Year Old,발블레어 15년
Balblair 17 Year Old,발블레어 17년
Balblair 18 Year Old,발블레어 18년
Balblair 25 Year Old,발블레어 25년
Tomintoul 14 Year Old,토민타울 14년
Tomintoul 16 Year Old,토민타울 16년
Tomintoul 21 Year Old,토민타울 21년
Tomintoul 25 Year Old,토민타울 25년
Tomintoul PX Sherry Cask Finish,토민타울 PX 셰리 캐스크 피니시
Tomintoul Cigar Malt,토민타울 시가 몰트
Aberfeldy 21 Year Old,애버펠디 21년
Aberfeldy 25 Year Old,애버펠디 25년
Cragganmore 12 Year Old,크래겐모어 12년
Cragganmore 20 Year Old,크래겐모어 20년
Glen Elgin 12 Year Old,글렌 엘긴 12년
Glen Elgin 18 Year Old,글렌 엘긴 18년
Glenkinchie 12 Year Old,글렌킨치 12년
Glen Spey 12 Year Old,글렌 스페이 12년
Knockando 12 Year Old,녹칸두 12년
Knockando 15 Year Old,녹칸두 15년
Tobermory 12 Year Old,토버모리 12년
Tobermory 18 Year Old,토버모리 18년
Inchgower 14 Year Old,인치고워 14년
Strathmill 12 Year Old,스트라스밀 12년
Glen Garioch 12 Year Old,글렌 기어리 12년
Glen Garioch 18 Year Old,글렌 기어리 18년
Craigellachie 13 Year Old,크라이겔라키 13년
The Irishman Single Malt,디 아이리시맨 싱글몰트
The Irishman Single Malt 12 Year Old,디 아이리시맨 싱글몰트 12년
The Irishman Cask Strength,디 아이리시맨 CS
The Irishman Caribbean Cask,디 아이리시맨 캐리비안 캐스크
The Irishman Founder's Reserve,디 아이리시맨 파운더스 리저브
The Irishman The Harvest,디 아이리시맨 더 하베스트
Writers' Tears Double Oak,라이터즈 티얼즈 더블 오크
Writers' Tears Red Head,라이터즈 티얼즈 레드 헤드
Writers' Tears Mizunara Cask,라이터즈 티얼즈 미즈나라 캐스크
Writers' Tears Copper Pot,라이터즈 티얼즈 싱글 팟 스틸
Clonakilty Galley Head,클로나킬티 갤리 헤드 아이리시 위스키
Clonakilty Single Pot Still,클로나킬티 싱글 팟 스틸 아이리시 위스키
Clonakilty Port Cask,클로나킬티 포트 캐스크 아이리시 위스키
Paddy Irish Whiskey,패디 아이리시 위스키
The Busker Single Grain,더 버스커 싱글 그레인
The Busker Single Malt,더 버스커 싱글 몰트
The Busker Single Pot Still,더 버스커 싱글 팟 스틸
Kilbeggan (Unspecified),킬베간
Jefferson's Bourbon,제퍼슨 버번
Rittenhouse Rye,리튼하우스 라이
E.H. Taylor Small Batch,E.H. 테일러 스몰배치
E.H. Taylor Straight Rye,E.H. 테일러 스트레이트 라이
E.H. Taylor Single Barrel,E.H. 테일러 싱글배럴
Redemption Rye,리뎀션 라이
Redemption Bourbon,리뎀션 버번
Redemption Wheated Bourbon,리뎀션 휘티드 버번
Redemption High Rye,리뎀션 하이 라이
Weller C.Y.P.B.,웰러 C.Y.P.B.
Weller Antique 107,웰러 앤티크 107
Weller Full Proof,웰러 풀 프루프
William Larue Weller,윌리엄 라루 웰러
Old Grand-Dad 114,올드 그랜드 대드 114
Crown Royal Deluxe,크라운 로얄 디럭스
Pappy Van Winkle 23 Year Old,패피 반 윙클 23년
Ezra Brooks Kentucky Straight Bourbon,에즈라 브룩스 켄터키 스트레이트 버번
George Dickel Bottled in Bond,조지 디켈 바틀 인 본드
John Lee Straight Bourbon,존 리 스트레이트 버번
High West Double Rye,하이 웨스트 더블 라이
High West Rendezvous Rye,하이 웨스트 랑데부
High West American Prairie Bourbon,하이 웨스트 버번
High West Campfire,하이 웨스트 캠프파이어
High West High Country American Single Malt,하이 웨스트 하이 컨트리
WhistlePig 10 Year Rye,휘슬피그 10년 라이
WhistlePig 12 Year Rye,휘슬피그 12년 라이
WhistlePig 15 Year Rye,휘슬피그 15년 라이
Elijah Craig Small Batch,일라이저 크레이그 스몰 배치
Elijah Craig Single Barrel 18 Year Old,일라이저 크레이그 싱글 배럴 18년
Yellow Rose Rye,옐로우 로즈 라이
Yellow Rose Outlaw Bourbon,옐로우 로즈 아웃로우 버번
Koval Single Barrel Millet Whiskey,코발 싱글배럴 밀레 위스키
Koval Single Barrel Bourbon,코발 싱글배럴 버번 위스키
Templeton Rye 4 Year Old,템플턴 라이 4년
Templeton Rye 6 Year Old,템플턴 라이 6년
Templeton Rye 10 Year Old Single Barrel,템플턴 라이 10년 싱글배럴
Templeton Rye Barrel Strength,템플턴 라이 배럴 스트렝스
Templeton Midnight Rye,템플턴 미드나잇 라이
Amrut Indian Single Malt,암룻 인디언
Amrut Indian Single Malt Cask Strength,암룻 인디언 CS
Amrut Intermediate Sherry,암룻 인터미디에이트 셰리
Amrut Portonova,암룻 포트노바
Amrut Rye Single Malt,암룻 라이 싱글몰트 위스키
Matsui The Kurayoshi Daisen Blended,마쓰이 다이센 블렌디드 위스키
Matsui Tottori Bourbon Barrel,마쓰이 돗토리 버번 배럴
Matsui Tottori Blended,마쓰이 돗토리 블렌디드 위스키
Matsui The Kurayoshi Single Malt,마쓰이 쿠라요시 싱글몰트 위스키
Matsui San-in,마쓰이 산인
Matsui The Kurayoshi Pure Malt,마쓰이 퓨어 몰트 위스키 쿠라요시
Kamiki Original,카미키 오리지널
Kamiki Sakura,카미키 사쿠라
Shinzato Whisky,신자토 위스키
Fuji Sanroku Signature Blend,후지산로쿠 시그니처 블렌드
Tenjaku Blended,텐자쿠 블렌디드 위스키
Tenjaku Pure Malt,텐자쿠 퓨어몰트 위스키
Kyoto Aka Obi,교토 아카 오비
Kyoto Kuro Obi,교토 쿠로 오비
Kyoto Murasaki Obi,교토 무라사키 오비
Haig Club,헤이그 클럽
Copper Dog,코퍼 독
The Naked Grouse,네이키드 그라우스
Smokehead,스모크 헤드
Big Peat,빅 피트
Big Peat 12 Year Old,빅 피트 12년
Port Askaig 8 Year Old,포트 애스케이그 8년
Port Charlotte 10 Year Old,포트샬롯 10년
Finlaggan Original,핀라간 오리지널
Kilkerran 12 Year Old,킬커란 12년
James E. Pepper 1776 Old Pepper Single Malt Small Batch,1776 올드 페퍼 싱글몰트 스몰 배치
James E. Pepper 1776 Old Pepper Single Barrel Rye,1776 올드 페퍼 싱글배럴 라이
James E. Pepper 1776 Rye,1776 제임스 E.페퍼 라이
James E. Pepper 1776 Barrel Proof Straight Rye,1776 제임스 E.페퍼 배럴 프루프 스트레이트 라이
James E. Pepper 1776 Barrel Proof Straight Bourbon,1776 제임스 E.페퍼 배럴 프루프 스트레이트 버번
James E. Pepper 1776 Bourbon,1776 제임스 E.페퍼 버번
1792 12 Year Old,1792 12년
1792 Bottled in Bond,1792 바틀 인 본드
1792 Single Barrel,1792 싱글배럴
35 by Imperial,35 바이 임페리얼
MB Roland Straight Bourbon,MB 롤랜드 스트레이트 버번 위스키
MB Roland Single Barrel Bourbon,MB 롤랜드 싱글배럴 버번 위스키
OLO Mannochmore 13 Year Old Oloroso Sherry Finish,OLO 마녹모어 13년 올로로쏘 셰리 피니시
RY3 Toasted Barrel Finish,RY3 위스키 토스티드 배럴 피니시
SMOS 2009 Mannochmore 11 Year Old,SMOS 2009 마녹모어 11년
SMOS Teaninich 11 Year Old,SMOS 티니닉 11년
That Boutique-y Whisky Company Miltonduff 10 Year Old Batch 5,TBWC 밀튼더프 10년 배치 5
TSC 2000 Allt-a-Bhainne 21 Year Old Cask Strength Hogshead,TSC 2000 알타바인 21년 CS 혹스헤드
TSC 2008 Miltonduff 13 Year Old Cask Strength 1st Fill Bourbon Barrel,TSC 2008 밀튼더프 13년 CS 1st Fill 버번 배럴
XOP Speyside 30 Year Old Cask Strength,XOP 스페이사이드 30년 CS
Hunter Laing Old & Rare Ardmore 31 Year Old Cask Strength,헌터랭 올드앤레어 아드모어 31년 CS
Sazerac Rye 18 Year Old,사제락 라이 18년
Wilson & Morgan 2008 Glenlossie 16 Year Old,윌슨앤모건 2008 글렌로지 16년
Iwai Tradition Sherry Cask Finish,이와이 트레디션 셰리 캐스크 피니시
Iwai Tradition Wine Cask Finish,이와이 트레디션 WCF
Iwai (Unspecified),이와이
Pearse Founder's Choice 12 Year Old Single Malt,피어스 파운더스 초이스 12년 싱글몰트
Indri Single Malt,인드리 싱글몰트 위스키
Old Pulteney Harbour,올드 풀트니 하버
The Politician Blended,폴리티션 블렌디드 위스키
Fettercairn Fasque Single Malt,피츠코티 싱글몰트 스카치 위스키
Compass Box Great King Street Artist's Blend,그레이트 킹 스트리트 아티스트 블렌드
Michel Couvreur Overaged Cask Strength,미쉘 쿠브어 오버에이지드 CS
Michel Couvreur Manzanilla Maturation,미쉘 쿠브어 만자니아 머츄레이션
Michel Couvreur Vin Jaune,미쉘 쿠브어 뱅 죤
Michel Couvreur Very Sherried 1998 25 Year Old,미쉘 쿠브어 베리 셰리드 1998 25년
Michel Couvreur Very Sherried 1998 26 Year Old Cask Strength,미쉘 쿠브어 베리 셰리드 1998 26년 CS
Michel Couvreur Blossoming Eau de Vie Sherried,미쉘 쿠브어 블로소밍 오드 셰리드
Michel Couvreur Special Vatting Peat,미쉘 쿠브어 스페셜 배팅 피트
Michel Couvreur Fino Maturation,미쉘 쿠브어 피노 머츄레이션
Michel Couvreur Hyphen,미쉘 쿠브어 하이픈
Hinch 10 Year Old Sherry Cask Finish,힌치 10년 셰리 캐스크 피니시
TSC 2010 Ledaig 11 Year Old Cask Strength Guyana Rum Barrel Finish,TSC 2010 레칙 11년 CS 가이아나 럼 배럴 피니시
Redwood Empire Emerald Giant Rye,레드우드 엠파이어 위스키 라이(에메랄드 자이언트)
Redwood Empire Lost Monarch Blend,레드우드 엠파이어 위스키 블렌드(로스트 모나크)
J&B Jet,제이 앤 비 제트
J&B Rare,제이 앤 비 레어
J&B Reserve 15 Year Old,제이 앤 비 리저브 15년
Old Gunsight Dailuaine 12 Year Old,올드 군시 달유인 12년
Old Gunsight Teaninich 13 Year Old,올드 군시 티니닉 13년
Old Gunsight 2009 Auchroisk 13 Year Old,올드 군시 2009 오크로이스크 13년
Old Gunsight 2011 Auchroisk 12 Year Old First Fill Amontillado Sherry Cask Finish,올드 군시 2011 오크로이스크 12년 퍼스트필 아몬티안도 셰리 캐스크 피니시
Kingsbarns Dream to Dram,킹스반즈 드림 투 드램
Kingsbarns Balcomie,킹스반즈 발코미
Wemyss Malts The Hive Batch Strength,더 하이브 배치 스트렝스
Wemyss Malts Spice King Batch Strength,스파이스 킹 배치 스트렝스
West Cork Sherry Cask Finish,웨스트콕 셰리 캐스크 피니시
West Cork Blended Cask Strength,웨스트콕 블렌디드 CS
West Cork Blended Bourbon Cask,웨스트콕 블렌디드 버번 캐스크
West Cork Calvados Cask Finish,웨스트콕 칼바도스 캐스크 피니시
West Cork Port Cask Finish,웨스트콕 포트 캐스크 피니시
Barrell Gold Label Bourbon 18 Year Old,바렐 골드 라벨 버번 18년
Barrell Gold Label Seagrass 20 Year Old,바렐 골드 라벨 시그라스 20년
Barrell Gray Label Bourbon 15 Year Old,바렐 그레이 라벨 버번 15년
Barrell Gray Label Seagrass 19 Year Old,바렐 그레이 라벨 시그라스 19년
Barrell Dovetail,바렐 도브테일
Barrell Toasted Dovetail,바렐 토스티드 도브테일
Barrell Decade 20 Year Old,바렐 디케이드 20년
Barrell Rye Batch 4,바렐 라이 배치 4
Barrell Vantage,바렐 밴티지
Barrell Bourbon,바렐 버번
Barrell Bourbon Batch 36,바렐 버번 배치 36
Barrell Seagrass,바렐 시그라스
Barrell Tale of Two Islands,바렐 테일 오브 투 아일랜드
Barrell Foundation,바렐 파운데이션
Gentleman's Cut Straight Bourbon,젠틀맨스 컷 스트레이트 버번 위스키
Bardstown Bourbon Discovery Series #10,바즈타운 버번 디스커버리 #10
Bardstown Bourbon Company Fusion Series #9,바즈타운 버번 컴퍼니 퓨전 시리즈 #9
Bardstown Bourbon Bottled in Bond,바즈타운 버번 바틀드 인 본드
Bardstown Bourbon Company Origin Series Bottled in Bond,바즈타운 버번 컴퍼니 오리진 시리즈 BIB
Bardstown Bourbon Company Kentucky Straight Rye,바즈타운 켄터키 스트레이트 라이
Bardstown Bourbon Company Kentucky Straight Bourbon,바즈타운 켄터키 스트레이트 버번
Elijah Craig Barrel Proof Batch A124,일라이저 크레이그 배럴 프루프 A124
Elijah Craig Barrel Proof Batch A120,일라이저 크레이그 배럴 프루프 A120
Elijah Craig Barrel Proof Batch A123,일라이저 크레이그 배럴 프루프 A123
Elijah Craig Barrel Proof Batch A122,일라이저 크레이그 배럴 프루프 A122
Elijah Craig Barrel Proof Batch B522,일라이저 크레이그 배럴 프루프 B522
Elijah Craig Barrel Proof Batch C922,일라이저 크레이그 배럴 프루프 C922
Elijah Craig Private Barrel 9 Year Old Barrel Proof,일라이저 크레이그 프라이빗 배럴 9년 배럴 프루프
Windsor 21 Year Old,윈저 21년
Fogg's Blended Irish,포그스 블렌디드 아이리시 위스키
White Oak Akashi Black,화이트 오크 위스키 아카시 블랙
Mackmyra Svensk Ek Single Malt,맥미라 스벤스크 에크 싱글몰트 위스키
Daldaeul Mannochmore 13 Year Old Art Series Hwang Jini,달달 마녹모어 13년 아트시리즈 황진이
Daldaeul Rye Base Special Whisky,달달 라이 베이스 스페셜 위스키
Daldaeul Dailuaine 9 Year Old Planet Series No.2 Venus,달달 달유인 9년 행성 시리즈 No.2 금성
Daldaeul Ardnahoe 13 Year Old Planet Series No.1 Mercury,달달 아드나호 13년 행성 시리즈 No.1 수성
Daldaeul Craigellachie 11 Year Old Art Series Wedding No.2,달달 크라이겔라키 11년 아트시리즈 웨딩 No.2
Daldaeul Craigellachie 11 Year Old Art Series Wedding No.3,달달 크라이겔라키 11년 아트시리즈 웨딩 No.3
Daldaeul Clynelish 10 Year Old Planet Series No.3 Earth,달달 크라이넬리쉬 10년 행성 시리즈 No.3 지구
Daldaeul Tomintoul 11 Year Old Art Series No.1,달달 토민타울 11년 아트시리즈 No.1 빗속의 아이
Daldaeul Tomintoul 11 Year Old Art Series No.2,달달 토민타울 11년 아트시리즈 No.2 설레는 아이
Kentucky Walker Straight Bourbon,켄터키 워커 스트레이트 버번
The English Whisky Smokey,잉글리쉬 싱글몰트 위스키 스모키
The English Whisky Original,잉글리쉬 싱글몰트 위스키 오리지널
The English Whisky VE-Day 80,잉글리쉬 위스키 Ve-Day 80
The English Whisky Cask Fusion,잉글리쉬 위스키 캐스크 퓨전
Tullibardine 500 Sherry Cask Finish,툴리바딘 500 셰리 캐스크 피니시
Highland Chief,하이랜드 치프
Kirin Single Malt Fuji,기린 싱글몰트 위스키 후지
Kirin Blended Fuji,기린 블렌디드 위스키 후지
Kirin Single Grain Fuji,기린 싱글 그레인 위스키 후지
Kirin Single Blended Fuji,기린 싱글 블렌디드 위스키 후지
Bankhall British Single Malt,뱅크홀 브리티쉬 싱글몰트 위스키
Highland Queen Majesty 14 Year Old,하이랜드 퀸 마제스티 14년
Highland Queen Sherry Cask Finish,하이랜드 퀸 셰리 캐스크 피니시
Hart Brothers Old Pulteney 10 Year Old,하트 브라더스 올드 풀트니 10년
Hart Brothers 2005 Tullibardine 13 Year Old Cask Strength,하트 브라더스 2005 툴리바딘 13년 CS
Hart Brothers 2010 Longmorn 11 Year Old Cask Strength,하트 브라더스 2010 롱몬 11년 CS
Hart Brothers 2013 Tormore 8 Year Old,하트 브라더스 2013 토모어 8년
Little Book Chapter 6,리틀 북 챕터 6
Koshino Shinobu Blended,코시노 시노부 블렌디드 위스키
Koshino Shinobu Pure Malt,코시노 시노부 퓨어 몰트 위스키
Iconic 2010 Speyside 15 Year Old Oloroso Octave Cask Finish,아이코닉 2010 스페이사이드 15년 올로로쏘 옥타브 캐스크 피니쉬
Brenne French Single Malt Pineau des Charentes Finish,브렌 프렌치 싱글몰트 위스키 피노 데 샤랑뜨 피니시
Brenne French Single Malt 10 Year Old,브렌 프렌치 싱글몰트 위스키 10년
Brenne French Single Malt Estate Cask,브렌 프렌치 싱글몰트 위스키 에스테이트 캐스크
Glenglassaugh Evolution,글렌글라사 에볼루션
Glenglassaugh Revival,글렌글라사 리바이벌
Glenglassaugh Torfa,글렌글라사 토파
Glenglassaugh 12 Year Old,글렌글라사 12년
Glenglassaugh Portsoy,글렌글라사 포트소이
Drammore Glenglassaugh 6 Year Old Oloroso Hogshead,드램모어 글렌글라사 6년 올로로쏘 혹스헤드
Drammore Tullibardine 7 Year Old Bourbon Barrel,드램모어 툴리바딘 7년 버번 배럴
Lost Distillery Classic Selection Dalaruan,로스트 디스틸러리 클래식 셀렉션 달라루안
Benchmark No.8,벤치마크 No.8
Benchmark Full Proof,벤치마크 풀 프루프
Oban 12 Year Old 2021 Special Release,오반 12년 2021 SR
Oban 10 Year Old 2022 Special Release,오반 10년 SR 2022
Oban 10 Year Old 2024 Special Release,오반 10년 SR 2024
Oban 11 Year Old 2023 Special Release,오반 11년 SR 2023
Oban 12 Year Old 2025 Special Release,오반 12년 SR 2025
Old Castle,올드 캐슬
Wolfburn Northland,울프번 노스랜드
Wolfburn Morven,울프번 몰벤
Wolfburn Aurora,울프번 오로라
Cooper's Choice 2011 Inchgower 11 Year Old,쿠퍼스 초이스 2011 인치고워 11년
Cooper's Choice 2005 Invergordon 18 Year Old Marsala Cask Finish,쿠퍼스 초이스 2005 인버고든 18년 마르살라 캐스크 피니시
Cooper's Choice 2011 Dailuaine 11 Year Old Port Wood Finish,쿠퍼스 초이스 2011 달유인 11년 포트우드 피니시
Cooper's Choice 2016 Dalmunach 7 Year Old,쿠퍼스 초이스 2016 달무낙 7년
Craigellachie 17 Year Old,크라이겔라키 17년
Douglas Laing The Epicurean,에피큐리안
Douglas Laing The Epicurean White Wood Finish,에피큐리안 화이트 우드 피니시
Rebel Yell Small Batch Rye,레벨 옐 스몰 배치 라이
Rebel Yell Kentucky Straight Bourbon,레벨 옐 켄터키 스트레이트 버번
Rebel Kentucky Straight Rye,레벨 켄터키 스트레이트 라이
Rebel Kentucky Straight Bourbon,레벨 켄터키 스트레이트 버번
Rebel Kentucky Straight Bourbon 100 Proof,레벨 켄터키 스트레이트 버번 100프루프
Infrequent Flyers Tomintoul 8 Year Old 2014,인프리퀀트 플라이어스 토민타울 8년 2014
Infrequent Flyers Knockdhu 9 Year Old 2013,인프리퀀트 플라이어스 녹두 9년 2013
Goldfinch Foundnorth 15 Year Old,골드핀치 파운드 노스 15년
Grant's 18 Year Old,그란츠 18년
Green Jacket 12 Year Old,그린 자켓 12년
Green Jacket 17 Year Old,그린 자켓 17년
Gladstone Axe Black Axe,글래드스톤 엑스 블랙엑스
Gladstone Axe American Oak,글래드스톤 엑스 아메리칸 오크
The 1770 Glasgow PX Cask Korean Exclusive,글래스고 1770 PX 캐스크 코리안 익스클루시브
The 1770 Glasgow Original,글래스고 1770 오리지널
Glen Garioch 17 Year Old Renaissance Chapter 3,글렌 기어리 17년 르네상스 3rd 챕터
Glen Garioch 1997 Batch 12,글렌 기어리 1997 배치 12
Glen Deveron 40 Year Old,글렌 데브론 40년
Glen Mansion,글렌 맨션
Glen Colt,글렌 콜트
Glen Turner 12 Year Old,글렌 터너 12년
Glendale Reserve,글렌데일 리저브
Glen Dower Blended Malt,글렌도워 블렌디드 몰트
Glen Lassie,글렌라씨
Glen Laird 10 Year Old,글렌레어드 10년
Glen Laird 12 Year Old,글렌레어드 12년
Glenkinchie 27 Year Old 2023 Special Release,글렌킨치 27년 SR 2023
Nagahama Single Malt Bordeaux Red Wine Cask,나가하마 싱글몰트 보르도 레드 와인 캐스크
Nagahama Single Malt Second Batch,나가하마 싱글몰트 세컨드 배치
Nagahama Single Malt First Batch,나가하마 싱글몰트 퍼스트 배치
Nanmonaki Meishu,나모나키 메이슈
Natterjack Blend No.1,내터잭 블렌드 No.1
Nc'nean Organic Single Malt,낵닌 오가닉 싱글 몰트
Nc'nean Cask Strength,낵닌 캐스크 스트렝스
Ned Whisky,네드 위스키
Nozomi Pure Malt,노조미 퓨어 몰트 위스키
New Leaf Rye 8 Year Old,뉴 리프 라이 8년
New Leaf Malted Rye 6 Year Old,뉴 리프 몰티드 라이 6년
New Leaf Single Barrel Bourbon Barrel Proof,뉴 리프 싱글배럴 버번 배럴 프루프
Ninkasi Chardonnay Cask,닌카시 샤르도네
Dyanne Blended,다이앤 블렌디드 위스키
Darkness 8 Year Old,다크니스 8년
Dalwhinnie 30 Year Old 2019,달위니 30년 2019
Dalwhinnie Winter's Gold,달위니 윈터스 골드
Dailuaine 21 Year Old 2025 Special Release,달유인 21년 SR 2025
Daddy Rack Tennessee Straight,대디 랙 테네시 스트레이트 위스키
That Boutique-y Whisky Company Macduff 10 Year Old Batch 10,댓 부티키 위스키 컴퍼니 맥더프 10년 배치 10
That Boutique-y Whisky Company Speyside #2 25 Year Old Batch 1,댓 부티키 위스키 컴퍼니 스페이사이드 #2 25년 배치 1
That Boutique-y Whisky Company Speyside #3 8 Year Old Batch 1,댓 부티키 위스키 컴퍼니 스페이사이드 #3 8년 배치 1
The Double Peat,더 더블 피트
The Dundee 10 Year Old,더 던디 10년
The Legendary Dark Silky,더 레전더리 다크 실키
The Legendary Silky,더 리젠더리 실키
The Midnight Silky,더 미드나이트 실키
The Smooth by Imperial 12 Year Old,더 스무스 바이 임페리얼 12년
The Smooth by Imperial 17 Year Old,더 스무스 바이 임페리얼 17년
The Wiseman Rye,더 와이즈맨 라이
The Wiseman Bourbon,더 와이즈맨 버번
The Whisky Docent Auchroisk 2011,더 위스키 도슨트 오크로이스크 2011
The Whisky Docent Cameron Bridge 2002,더 위스키 도슨트 카메론 브릿지 2002
The Whisky Blues 2009 Macduff 16 Year Old,더 위스키 블루스 2009 맥더프 16년
The Whisky Tales Fireworks 2011 Allt-a-Bhainne 14 Year Old,더 위스키 테일즈 불꽃놀이 2011 알타바인 14년
The Whisky Tales Season 2 Sharon Ardmore 8 Year Old,더 위스키 테일즈 시즌 2 샤론 아드모어 8년
The Whisky Tales Season 2 Opening Tobermory 2013,더 위스키 테일즈 시즌 2 오프닝 토버모리 2013
The Whisky Tales Season 2 Eve Craigellachie 16 Year Old,더 위스키 테일즈 시즌 2 이브 크라이겔라키 16년
The Whisky Tales Gina 2008 Old Pulteney 17 Year Old,더 위스키 테일즈 지나 2008 풀트니 17년
